step,loss,lr
1,0.99218750,5e-06
2,2.20312500,4.99995450152e-06
3,1.27343750,4.99981800791e-06
4,1.10937500,4.9995905247e-06
5,1.96875000,4.99927206109e-06
6,1.37500000,4.99886262995e-06
7,1.14843750,4.99836224785e-06
8,1.63281250,4.99777093502e-06
9,1.48437500,4.99708871538e-06
10,1.09375000,4.99631561652e-06
11,1.35937500,4.9954516697e-06
12,1.28125000,4.99449690986e-06
13,1.32031250,4.99345137562e-06
14,1.07812500,4.99231510927e-06
15,1.85156250,4.99108815675e-06
16,0.94531250,4.98977056769e-06
17,0.83203125,4.98836239537e-06
18,1.46875000,4.98686369676e-06
19,1.46875000,4.98527453245e-06
20,1.28906250,4.98359496672e-06
21,1.82812500,4.9818250675e-06
22,1.63281250,4.97996490636e-06
23,1.34375000,4.97801455855e-06
24,1.24218750,4.97597410292e-06
25,1.22656250,4.97384362202e-06
26,1.26562500,4.971623202e-06
27,1.70312500,4.96931293266e-06
28,0.84375000,4.96691290743e-06
29,1.16406250,4.96442322339e-06
30,1.34375000,4.96184398121e-06
31,1.48437500,4.95917528522e-06
32,1.67187500,4.95641724335e-06
33,1.39062500,4.95356996713e-06
34,1.03906250,4.95063357172e-06
35,1.16406250,4.94760817588e-06
36,1.71093750,4.94449390197e-06
37,1.42968750,4.94129087592e-06
38,1.21093750,4.9379992273e-06
39,1.42968750,4.93461908921e-06
40,1.72656250,4.93115059836e-06
41,1.32812500,4.92759389504e-06
42,1.70312500,4.92394912307e-06
43,1.33593750,4.92021642988e-06
44,0.69921875,4.91639596642e-06
45,0.71093750,4.9124878872e-06
46,1.18750000,4.90849235027e-06
47,1.33593750,4.90440951724e-06
48,1.10937500,4.90023955321e-06
49,1.10937500,4.89598262685e-06
50,1.25781250,4.8916389103e-06
51,0.90625000,4.88720857925e-06
52,1.72656250,4.88269181287e-06
53,1.10937500,4.87808879383e-06
54,0.93750000,4.87339970829e-06
55,0.87500000,4.8686247459e-06
56,0.65234375,4.86376409976e-06
57,0.82421875,4.85881796646e-06
58,1.14843750,4.85378654604e-06
59,1.18750000,4.84867004198e-06
60,0.91406250,4.84346866121e-06
61,0.63281250,4.83818261408e-06
62,0.79687500,4.83281211439e-06
63,0.89453125,4.82735737933e-06
64,0.81640625,4.8218186295e-06
65,1.34375000,4.81619608892e-06
66,0.72656250,4.81048998497e-06
67,0.57031250,4.80470054844e-06
68,0.69921875,4.79882801345e-06
69,0.64062500,4.79287261751e-06
70,1.04687500,4.78683460149e-06
71,0.75000000,4.78071420957e-06
72,0.60937500,4.77451168928e-06
73,1.05468750,4.76822729147e-06
74,0.66015625,4.76186127031e-06
75,1.01562500,4.75541388324e-06
76,1.31250000,4.74888539104e-06
77,0.91015625,4.74227605772e-06
78,0.50390625,4.73558615059e-06
79,0.55859375,4.72881594021e-06
80,1.00781250,4.7219657004e-06
81,1.25000000,4.71503570818e-06
82,0.64843750,4.70802624384e-06
83,1.31250000,4.70093759086e-06
84,0.42968750,4.69377003592e-06
85,0.59375000,4.68652386891e-06
86,0.68750000,4.67919938288e-06
87,0.87890625,4.67179687405e-06
88,0.66015625,4.66431664181e-06
89,0.61718750,4.65675898869e-06
90,0.45507812,4.64912422032e-06
91,0.67187500,4.6414126455e-06
92,1.03906250,4.63362457609e-06
93,0.97656250,4.62576032708e-06
94,0.66015625,4.61782021651e-06
95,1.28125000,4.60980456551e-06
96,0.63671875,4.60171369826e-06
97,0.90234375,4.59354794198e-06
98,0.48242188,4.58530762691e-06
99,0.68750000,4.57699308632e-06
100,1.03906250,4.56860465648e-06
101,0.84375000,4.56014267663e-06
102,0.93750000,4.55160748901e-06
103,0.67187500,4.54299943881e-06
104,0.83984375,4.53431887417e-06
105,0.69531250,4.52556614614e-06
106,0.69531250,4.51674160873e-06
107,0.75000000,4.50784561881e-06
108,0.50781250,4.49887853618e-06
109,1.07812500,4.48984072349e-06
110,1.03906250,4.48073254625e-06
111,1.64062500,4.47155437284e-06
112,1.00781250,4.46230657443e-06
113,1.32812500,4.45298952505e-06
114,1.00000000,4.4436036015e-06
115,1.00000000,4.43414918338e-06
116,1.15625000,4.42462665306e-06
117,1.26562500,4.41503639565e-06
118,1.14062500,4.40537879901e-06
119,1.00781250,4.39565425374e-06
120,1.84375000,4.38586315311e-06
121,1.75000000,4.37600589311e-06
122,2.09375000,4.3660828724e-06
123,1.27343750,4.3560944923e-06
124,1.31250000,4.34604115677e-06
125,1.54687500,4.33592327239e-06
126,1.29687500,4.32574124837e-06
127,0.95703125,4.31549549649e-06
128,0.91015625,4.30518643113e-06
129,0.71093750,4.29481446922e-06
130,0.38281250,4.28438003023e-06
131,0.40625000,4.27388353616e-06
132,0.82031250,4.26332541152e-06
133,0.47070312,4.25270608332e-06
134,1.19531250,4.24202598104e-06
135,0.82421875,4.23128553661e-06
136,0.40820312,4.22048518441e-06
137,1.17968750,4.20962536123e-06
138,0.69531250,4.19870650629e-06
139,0.40234375,4.18772906117e-06
140,0.48632812,4.17669346984e-06
141,0.39648438,4.16560017861e-06
142,0.96484375,4.15444963613e-06
143,0.46484375,4.14324229335e-06
144,0.72265625,4.13197860355e-06
145,0.94921875,4.12065902226e-06
146,0.76171875,4.10928400727e-06
