step,loss,lr
1,5.07031250,3e-05
2,3.96875000,2.99998442431e-05
3,3.28125000,2.99993769761e-05
4,3.16796875,2.99985982098e-05
5,2.98828125,2.99975079621e-05
6,2.76562500,2.99961062582e-05
7,2.51171875,2.99943931304e-05
8,2.35937500,2.99923686182e-05
9,2.36718750,2.99900327685e-05
10,2.55078125,2.9987385635e-05
11,2.55859375,2.99844272788e-05
12,2.92968750,2.99811577683e-05
13,3.08203125,2.99775771788e-05
14,3.11718750,2.9973685593e-05
15,3.70312500,2.99694831008e-05
16,4.47656250,2.99649697989e-05
17,2.38671875,2.99601457917e-05
18,2.27734375,2.99550111904e-05
19,2.42187500,2.99495661135e-05
20,2.67187500,2.99438106866e-05
21,2.96484375,2.99377450426e-05
22,3.06640625,2.99313693214e-05
23,3.31250000,2.99246836701e-05
24,4.12500000,2.99176882431e-05
25,4.05859375,2.99103832016e-05
26,3.40234375,2.99027687144e-05
27,2.96875000,2.98948449571e-05
28,2.84375000,2.98866121125e-05
29,2.57812500,2.98780703706e-05
30,2.39843750,2.98692199285e-05
31,2.21093750,2.98600609905e-05
32,2.19921875,2.98505937679e-05
33,2.15625000,2.98408184791e-05
34,2.19140625,2.98307353497e-05
35,2.34765625,2.98203446123e-05
36,2.58984375,2.98096465069e-05
37,2.84765625,2.97986412801e-05
38,2.86328125,2.9787329186e-05
39,3.16015625,2.97757104855e-05
40,3.71875000,2.97637854468e-05
41,2.18359375,2.97515543451e-05
42,2.16015625,2.97390174626e-05
43,2.27734375,2.97261750885e-05
44,2.60546875,2.97130275192e-05
45,2.72265625,2.96995750582e-05
46,2.86328125,2.96858180157e-05
47,3.08593750,2.96717567093e-05
48,3.59765625,2.96573914635e-05
49,2.02929688,2.96427226096e-05
50,2.00585938,2.96277504862e-05
51,2.27343750,2.96124754388e-05
52,2.51171875,2.95968978198e-05
53,2.73046875,2.95810179887e-05
54,2.84375000,2.9564836312e-05
55,3.10156250,2.95483531629e-05
56,3.47656250,2.9531568922e-05
57,3.29296875,2.95144839764e-05
58,3.01171875,2.94970987204e-05
59,2.72265625,2.94794135552e-05
60,2.70703125,2.94614288888e-05
61,2.53906250,2.94431451363e-05
62,2.32421875,2.94245627195e-05
63,2.18750000,2.94056820673e-05
64,2.03515625,2.93865036153e-05
65,2.13281250,2.93670278061e-05
66,2.08984375,2.9347255089e-05
67,2.14257812,2.93271859204e-05
68,2.37890625,2.93068207633e-05
69,2.65234375,2.92861600876e-05
70,2.75000000,2.92652043702e-05
71,2.95703125,2.92439540944e-05
72,3.13671875,2.92224097508e-05
73,2.19921875,2.92005718365e-05
74,2.14453125,2.91784408553e-05
75,2.16796875,2.91560173179e-05
76,2.52734375,2.91333017418e-05
77,2.64453125,2.91102946511e-05
78,2.71875000,2.90869965767e-05
