step,loss,lr
1,1.53906250,1e-05
2,2.00000000,9.99970421484e-06
3,1.57031250,9.99881689825e-06
4,1.89062500,9.99733816686e-06
5,2.42187500,9.99526821509e-06
6,2.37500000,9.99260731503e-06
7,2.12500000,9.9893558165e-06
8,1.92968750,9.98551414694e-06
9,2.48437500,9.98108281137e-06
10,1.49218750,9.97606239233e-06
11,2.14062500,9.97045354982e-06
12,1.74218750,9.96425702116e-06
13,2.17187500,9.95747362096e-06
14,1.53125000,9.95010424096e-06
15,1.58593750,9.94214984995e-06
16,1.63281250,9.9336114936e-06
17,1.67968750,9.92449029437e-06
18,1.10937500,9.91478745133e-06
19,1.31250000,9.90450424002e-06
20,1.35937500,9.89364201227e-06
21,1.75000000,9.88220219603e-06
22,1.60937500,9.87018629518e-06
23,1.67187500,9.85759588933e-06
24,1.19531250,9.84443263361e-06
25,1.05468750,9.83069825848e-06
26,1.87500000,9.81639456944e-06
27,2.18750000,9.80152344687e-06
28,1.61718750,9.78608684572e-06
29,1.32031250,9.77008679529e-06
30,2.04687500,9.75352539895e-06
31,1.74218750,9.73640483385e-06
32,1.91406250,9.71872735068e-06
33,1.71875000,9.70049527331e-06
34,1.85937500,9.68171099854e-06
35,2.32812500,9.66237699574e-06
36,1.47656250,9.64249580656e-06
37,1.94531250,9.6220700446e-06
38,1.64843750,9.60110239501e-06
39,2.18750000,9.57959561421e-06
40,1.92968750,9.55755252949e-06
41,1.63281250,9.53497603862e-06
42,1.53125000,9.51186910951e-06
43,2.00000000,9.48823477981e-06
44,1.73437500,9.46407615648e-06
45,2.15625000,9.43939641542e-06
46,2.17187500,9.41419880103e-06
47,2.20312500,9.38848662578e-06
48,2.42187500,9.36226326981e-06
49,2.01562500,9.33553218044e-06
50,1.95312500,9.30829687173e-06
51,1.92187500,9.28056092404e-06
52,1.32812500,9.25232798355e-06
53,1.68750000,9.22360176176e-06
54,2.01562500,9.19438603501e-06
55,2.14062500,9.16468464402e-06
56,2.18750000,9.13450149332e-06
57,2.53125000,9.1038405508e-06
58,1.87500000,9.07270584714e-06
59,2.37500000,9.04110147533e-06
60,2.03125000,9.00903159005e-06
61,2.12500000,8.97650040724e-06
