step,loss,lr
1,1.52734375,1e-05
2,1.38476562,9.99969538602e-06
3,1.32226562,9.99878158531e-06
4,1.45312500,9.99725872159e-06
5,1.62695312,9.99512700102e-06
6,1.93945312,9.99238671222e-06
7,2.01367188,9.98903822617e-06
8,1.99218750,9.9850819962e-06
9,2.00000000,9.98051855792e-06
10,2.12890625,9.97534852916e-06
11,1.99804688,9.96957260984e-06
12,1.66601562,9.96319158194e-06
13,1.43164062,9.95620630934e-06
14,1.33789062,9.94861773774e-06
15,1.41601562,9.94042689451e-06
16,1.58593750,9.93163488855e-06
17,1.51953125,9.92224291018e-06
18,1.40429688,9.9122522309e-06
19,1.46093750,9.9016642033e-06
20,1.50390625,9.89048026083e-06
21,1.81445312,9.87870191761e-06
22,1.86328125,9.86633076824e-06
23,2.09375000,9.85336848758e-06
24,1.94921875,9.83981683052e-06
25,1.52929688,9.82567763172e-06
26,1.45312500,9.81095280542e-06
27,1.46289062,9.79564434511e-06
28,1.35937500,9.77975432333e-06
29,1.63476562,9.76328489131e-06
30,1.90039062,9.74623827877e-06
31,2.04687500,9.72861679354e-06
32,1.98242188,9.71042282128e-06
33,1.51171875,9.69165882517e-06
34,1.47265625,9.67232734555e-06
35,1.43750000,9.6524309996e-06
36,1.46289062,9.63197248096e-06
37,1.62304688,9.61095455939e-06
38,1.83789062,9.58938008038e-06
39,1.98437500,9.56725196477e-06
40,1.97851562,9.54457320835e-06
41,1.46484375,9.52134688146e-06
42,1.37304688,9.49757612857e-06
43,1.39453125,9.47326416787e-06
44,1.48632812,9.4484142908e-06
45,1.63085938,9.42302986164e-06
46,1.92382812,9.39711431703e-06
47,2.10156250,9.37067116553e-06
48,1.95703125,9.34370398711e-06
49,1.49609375,9.3162164327e-06
50,1.36914062,9.28821222368e-06
51,1.46289062,9.25969515136e-06
52,1.49609375,9.2306690765e-06
53,1.70312500,9.20113792876e-06
54,2.05468750,9.1711057062e-06
55,2.10937500,9.14057647469e-06
56,2.00000000,9.1095543674e-06
57,2.17187500,9.07804358423e-06
58,1.96875000,9.04604839123e-06
59,1.65234375,9.01357312004e-06
60,1.50195312,8.9806221673e-06
61,1.45117188,8.94719999404e-06
62,1.43750000,8.91331112507e-06
63,1.54882812,8.87896014842e-06
64,1.59960938,8.84415171465e-06
65,1.36523438,8.80889053627e-06
66,1.34570312,8.77318138708e-06
67,1.49414062,8.73702910152e-06
68,1.65820312,8.70043857405e-06
69,1.91796875,8.66341475842e-06
70,2.10546875,8.62596266707e-06
71,1.90039062,8.58808737041e-06
72,2.00781250,8.54979399616e-06
73,2.08203125,8.51108772861e-06
74,1.91015625,8.471973808e-06
75,1.64648438,8.4324575297e-06
76,1.55273438,8.39254424359e-06
77,1.38476562,8.35223935329e-06
78,1.38476562,8.31154831545e-06
79,1.55078125,8.27047663897e-06
80,1.54296875,8.22902988429e-06
81,1.41015625,8.18721366266e-06
82,1.37890625,8.14503363532e-06
83,1.50390625,8.10249551276e-06
84,1.58593750,8.05960505396e-06
85,1.91992188,8.01636806562e-06
86,2.07031250,7.97279040132e-06
87,2.05664062,7.92887796078e-06
88,2.00781250,7.88463668905e-06
89,2.02539062,7.84007257568e-06
90,1.79687500,7.79519165395e-06
91,1.55078125,7.75e-06
92,1.40039062,7.70450373207e-06
93,1.30468750,7.65870900963e-06
94,1.39453125,7.61262203254e-06
95,1.46484375,7.56624904024e-06
96,1.96093750,7.5195963109e-06
97,2.10156250,7.47267016055e-06
98,1.88085938,7.42547694224e-06
99,1.58984375,7.37802304517e-06
100,1.44140625,7.33031489384e-06
101,1.40625000,7.28235894718e-06
102,1.35937500,7.23416169764e-06
103,1.52343750,7.18572967037e-06
104,1.97460938,7.13706942229e-06
105,2.11328125,7.08818754121e-06
106,2.00000000,7.03909064497e-06
107,1.59179688,6.98978538048e-06
108,1.52734375,6.94027842291e-06
109,1.36718750,6.89057647469e-06
110,1.36718750,6.84068626467e-06
111,1.47265625,6.7906145472e-06
112,2.09375000,6.74036810118e-06
113,2.11718750,6.68995372917e-06
114,1.85937500,6.63937825647e-06
115,1.53710938,6.5886485302e-06
116,1.50000000,6.53777141834e-06
117,1.27343750,6.48675380885e-06
118,1.48046875,6.43560260868e-06
119,1.51757812,6.3843247429e-06
120,1.51562500,6.3329271537e-06
121,1.47851562,6.2814167995e-06
122,1.41992188,6.22980065398e-06
123,1.45507812,6.17808570512e-06
124,1.53710938,6.12627895432e-06
125,1.83593750,6.07438741537e-06
126,2.11523438,6.02241811356e-06
127,1.99609375,5.9703780847e-06
128,1.52148438,5.91827437418e-06
129,1.39062500,5.86611403601e-06
130,1.41406250,5.81390413185e-06
131,1.49023438,5.7616517301e-06
132,1.60546875,5.70936390489e-06
133,1.85937500,5.65704773516e-06
134,2.06640625,5.60471030368e-06
135,2.03125000,5.55235869611e-06
136,1.54882812,5.5e-06
137,1.41992188,5.44764130389e-06
138,1.35742188,5.39528969632e-06
139,1.47460938,5.34295226484e-06
140,1.61328125,5.29063609511e-06
141,1.80078125,5.2383482699e-06
142,1.89648438,5.18609586815e-06
143,2.14648438,5.13388596399e-06
144,1.49218750,5.08172562582e-06
145,1.35937500,5.0296219153e-06
146,1.37109375,4.97758188644e-06
147,1.40820312,4.92561258463e-06
148,1.55859375,4.87372104568e-06
149,1.90234375,4.82191429488e-06
150,2.07421875,4.77019934602e-06
151,1.82617188,4.7185832005e-06
152,1.54882812,4.6670728463e-06
153,1.32031250,4.6156752571e-06
154,1.32226562,4.56439739132e-06
155,1.43164062,4.51324619115e-06
156,1.58398438,4.46222858166e-06
157,1.87695312,4.4113514698e-06
158,2.06250000,4.36062174353e-06
159,1.96679688,4.31004627083e-06
160,1.40820312,4.25963189882e-06
161,1.41406250,4.2093854528e-06
162,1.45117188,4.15931373533e-06
163,1.41406250,4.10942352531e-06
164,1.58593750,4.05972157709e-06
165,1.93164062,4.01021461952e-06
166,2.01367188,3.96090935503e-06
167,1.91406250,3.91181245879e-06
168,1.86132812,3.86293057771e-06
169,2.02734375,3.81427032963e-06
170,1.89257812,3.76583830236e-06
171,1.62500000,3.71764105282e-06
172,1.44140625,3.66968510616e-06
173,1.38085938,3.62197695483e-06
174,1.48046875,3.57452305776e-06
175,1.47460938,3.52732983945e-06
176,1.89648438,3.4804036891e-06
177,2.04296875,3.43375095976e-06
178,1.84375000,3.38737796746e-06
179,1.56640625,3.34129099037e-06
180,1.41796875,3.29549626793e-06
181,1.36132812,3.25e-06
182,1.38281250,3.20480834605e-06
183,1.48242188,3.15992742432e-06
184,1.48828125,3.11536331095e-06
185,1.29687500,3.07112203922e-06
186,1.33789062,3.02720959868e-06
187,1.45117188,2.98363193438e-06
188,1.61328125,2.94039494604e-06
189,1.84960938,2.89750448724e-06
190,2.07031250,2.85496636468e-06
191,1.95898438,2.81278633734e-06
192,1.51953125,2.77097011571e-06
193,1.35546875,2.72952336103e-06
194,1.37500000,2.68845168455e-06
195,1.42578125,2.64776064671e-06
196,1.66406250,2.60745575641e-06
197,2.05468750,2.5675424703e-06
198,1.83007812,2.528026192e-06
199,1.46875000,2.48891227139e-06
200,1.39648438,2.45020600384e-06
201,1.31445312,2.41191262959e-06
202,1.36132812,2.37403733293e-06
203,1.60937500,2.33658524158e-06
204,1.91015625,2.29956142595e-06
205,2.08984375,2.26297089848e-06
206,1.90039062,2.22681861292e-06
207,1.98046875,2.19110946373e-06
208,1.96875000,2.15584828535e-06
209,1.90039062,2.12103985158e-06
210,1.60351562,2.08668887493e-06
211,1.47851562,2.05280000596e-06
212,1.38281250,2.0193778327e-06
213,1.37890625,1.98642687996e-06
214,1.53710938,1.95395160877e-06
215,1.51757812,1.92195641577e-06
216,1.37109375,1.8904456326e-06
217,1.39648438,1.85942352531e-06
218,1.42773438,1.8288942938e-06
219,1.54296875,1.79886207124e-06
220,1.85351562,1.7693309235e-06
221,2.02734375,1.74030484864e-06
222,1.88867188,1.71178777632e-06
223,2.01953125,1.6837835673e-06
224,2.10937500,1.65629601289e-06
225,1.83984375,1.62932883447e-06
226,1.57812500,1.60288568297e-06
227,1.50195312,1.57697013836e-06
228,1.31835938,1.5515857092e-06
229,1.35742188,1.52673583213e-06
230,1.49023438,1.50242387143e-06
231,1.59179688,1.47865311854e-06
232,1.40820312,1.45542679165e-06
233,1.41210938,1.43274803523e-06
234,1.48632812,1.41061991962e-06
235,1.63671875,1.38904544061e-06
236,1.85351562,1.36802751904e-06
237,2.04492188,1.3475690004e-06
238,1.90039062,1.32767265445e-06
239,2.04296875,1.30834117483e-06
240,2.00390625,1.28957717872e-06
241,1.75195312,1.27138320646e-06
242,1.56445312,1.25376172123e-06
243,1.48242188,1.23671510869e-06
244,1.34375000,1.22024567667e-06
245,1.32617188,1.20435565489e-06
246,1.49023438,1.18904719458e-06
247,1.54296875,1.17432236828e-06
248,1.45507812,1.16018316948e-06
249,1.33593750,1.14663151242e-06
250,1.44921875,1.13366923176e-06
251,1.59960938,1.12129808239e-06
252,1.87109375,1.10951973917e-06
253,2.02734375,1.0983357967e-06
254,2.02343750,1.0877477691e-06
255,1.45703125,1.07775708982e-06
256,1.36523438,1.06836511145e-06
257,1.39648438,1.05957310549e-06
258,1.46484375,1.05138226226e-06
259,1.53710938,1.04379369066e-06
260,1.87500000,1.03680841806e-06
261,2.07617188,1.03042739016e-06
262,1.96093750,1.02465147084e-06
263,1.44531250,1.01948144208e-06
264,1.37890625,1.0149180038e-06
265,1.30078125,1.01096177383e-06
266,1.48828125,1.00761328778e-06
267,1.63867188,1.00487299898e-06
268,1.85937500,1.00274127841e-06
269,2.10546875,1.00121841469e-06
270,1.90429688,1.00030461398e-06
