step,loss,lr
1,1.73828125,1e-05
2,1.81445312,9.99945578467e-06
3,1.87890625,9.99782327031e-06
4,2.04687500,9.99510285179e-06
5,2.16992188,9.9912951871e-06
6,2.25390625,9.98640119722e-06
7,2.23046875,9.98042206586e-06
8,1.77734375,9.97335923923e-06
9,1.94726562,9.96521442563e-06
10,2.08593750,9.95598959509e-06
11,2.25390625,9.94568697883e-06
12,2.18359375,9.9343090688e-06
13,1.90039062,9.921858617e-06
14,1.84960938,9.90833863487e-06
15,1.74023438,9.89375239254e-06
16,1.83789062,9.87810341802e-06
17,1.83789062,9.8613954964e-06
18,2.11523438,9.84363266887e-06
19,2.19140625,9.82481923179e-06
20,2.13281250,9.80495973564e-06
21,1.96484375,9.7840589839e-06
22,1.86523438,9.7621220319e-06
23,1.64648438,9.73915418561e-06
24,1.76171875,9.71516100036e-06
25,1.97460938,9.69014827944e-06
26,2.17382812,9.66412207278e-06
27,2.27734375,9.63708867542e-06
28,2.16406250,9.60905462603e-06
29,1.90039062,9.5800267053e-06
30,1.88867188,9.55001193431e-06
31,1.82226562,9.51901757284e-06
32,1.89648438,9.48705111761e-06
33,1.99023438,9.45412030045e-06
34,2.30859375,9.42023308645e-06
35,2.02734375,9.38539767203e-06
36,1.72656250,9.34962248297e-06
37,1.75585938,9.31291617231e-06
38,2.05078125,9.27528761835e-06
39,2.14843750,9.23674592244e-06
40,2.10546875,9.19730040679e-06
41,2.03906250,9.15696061223e-06
42,1.96679688,9.11573629587e-06
43,1.75976562,9.0736374288e-06
44,1.64062500,9.03067419361e-06
45,1.90820312,8.98685698196e-06
46,1.68750000,8.94219639209e-06
47,1.71484375,8.89670322619e-06
48,1.83203125,8.85038848786e-06
49,2.08984375,8.80326337942e-06
50,2.25781250,8.75533929916e-06
51,2.13281250,8.70662783866e-06
52,2.01562500,8.65714077993e-06
53,1.91406250,8.60689009257e-06
54,1.60742188,8.5558879309e-06
55,1.68750000,8.50414663097e-06
56,1.82617188,8.45167870765e-06
57,1.96093750,8.39849685153e-06
58,2.10546875,8.34461392588e-06
59,2.29296875,8.29004296357e-06
60,1.99414062,8.23479716386e-06
61,1.75585938,8.17888988924e-06
62,1.74609375,8.12233466221e-06
63,1.71093750,8.06514516196e-06
64,1.95898438,8.00733522113e-06
65,1.98632812,7.9489188224e-06
66,2.16015625,7.88991009516e-06
67,2.20117188,7.83032331204e-06
68,1.96289062,7.77017288552e-06
69,1.81445312,7.70947336438e-06
70,1.95117188,7.64823943023e-06
71,2.16210938,7.58648589393e-06
72,2.26171875,7.52422769203e-06
73,2.10937500,7.46147988314e-06
