step,loss,lr
1,1.84179688,1e-05
2,1.68359375,9.99945578467e-06
3,1.95507812,9.99782327031e-06
4,2.17968750,9.99510285179e-06
5,2.11718750,9.9912951871e-06
6,2.00390625,9.98640119722e-06
7,1.94726562,9.98042206586e-06
8,1.92773438,9.97335923923e-06
9,1.98632812,9.96521442563e-06
10,1.94140625,9.95598959509e-06
11,1.88281250,9.94568697883e-06
12,2.11328125,9.9343090688e-06
13,2.14843750,9.921858617e-06
14,1.93750000,9.90833863487e-06
15,1.67773438,9.89375239254e-06
16,1.76171875,9.87810341802e-06
17,1.80078125,9.8613954964e-06
18,1.99023438,9.84363266887e-06
19,2.25000000,9.82481923179e-06
20,2.00781250,9.80495973564e-06
21,1.97265625,9.7840589839e-06
22,1.78125000,9.7621220319e-06
23,1.84765625,9.73915418561e-06
24,2.12695312,9.71516100036e-06
25,2.24609375,9.69014827944e-06
26,1.91796875,9.66412207278e-06
27,1.96679688,9.63708867542e-06
28,1.78710938,9.60905462603e-06
29,1.85156250,9.5800267053e-06
30,1.82617188,9.55001193431e-06
31,1.85156250,9.51901757284e-06
32,2.01757812,9.48705111761e-06
33,2.27734375,9.45412030045e-06
34,2.16796875,9.42023308645e-06
35,1.92187500,9.38539767203e-06
36,1.69921875,9.34962248297e-06
37,1.83398438,9.31291617231e-06
38,1.71679688,9.27528761835e-06
39,1.81640625,9.23674592244e-06
40,1.95507812,9.19730040679e-06
41,2.23437500,9.15696061223e-06
42,2.16796875,9.11573629587e-06
43,1.80468750,9.0736374288e-06
44,1.70507812,9.03067419361e-06
45,1.86328125,8.98685698196e-06
46,1.72265625,8.94219639209e-06
47,1.85546875,8.89670322619e-06
48,2.05664062,8.85038848786e-06
49,2.28125000,8.80326337942e-06
50,1.78515625,8.75533929916e-06
51,1.66992188,8.70662783866e-06
52,1.61328125,8.65714077993e-06
53,1.83398438,8.60689009257e-06
54,1.60742188,8.5558879309e-06
55,1.93750000,8.50414663097e-06
56,2.13867188,8.45167870765e-06
57,2.29296875,8.39849685153e-06
58,1.93359375,8.34461392588e-06
59,1.73437500,8.29004296357e-06
60,1.72070312,8.23479716386e-06
61,1.88085938,8.17888988924e-06
62,1.70898438,8.12233466221e-06
63,1.87500000,8.06514516196e-06
64,2.14453125,8.00733522113e-06
65,2.21093750,7.9489188224e-06
66,1.90820312,7.88991009516e-06
67,1.79882812,7.83032331204e-06
68,1.62304688,7.77017288552e-06
69,1.93554688,7.70947336438e-06
70,1.74414062,7.64823943023e-06
71,1.80468750,7.58648589393e-06
72,2.15039062,7.52422769203e-06
73,2.27734375,7.46147988314e-06
74,1.88476562,7.39825764428e-06
75,1.66210938,7.33457626724e-06
76,1.66210938,7.27045115485e-06
77,1.70898438,7.20589781728e-06
78,1.71679688,7.14093186827e-06
79,1.84375000,7.07556902136e-06
80,2.15625000,7.00982508609e-06
81,2.17968750,6.94371596417e-06
82,1.84179688,6.87725764565e-06
83,1.66406250,6.81046620502e-06
84,1.56054688,6.74335779738e-06
85,1.78906250,6.67594865446e-06
86,1.75390625,6.60825508074e-06
87,1.87890625,6.54029344952e-06
88,2.12890625,6.47208019889e-06
89,2.20312500,6.40363182785e-06
90,1.89648438,6.33496489223e-06
91,1.65039062,6.26609600075e-06
92,1.63671875,6.19704181096e-06
93,1.65625000,6.12781902525e-06
94,1.40234375,6.05844438676e-06
95,1.83984375,5.98893467538e-06
96,1.76171875,5.91930670368e-06
97,2.18359375,5.8495773128e-06
98,2.12109375,5.77976336844e-06
99,1.84765625,5.70988175674e-06
100,1.68164062,5.63994938021e-06
101,1.96875000,5.56998315364e-06
102,1.81835938,5.5e-06
103,1.94335938,5.43001684636e-06
104,2.10546875,5.36005061979e-06
105,1.67578125,5.29011824326e-06
106,1.79687500,5.22023663156e-06
107,1.63281250,5.1504226872e-06
108,1.78906250,5.08069329632e-06
109,2.05468750,5.01106532462e-06
110,2.25000000,4.94155561324e-06
111,1.86523438,4.87218097475e-06
112,1.71289062,4.80295818904e-06
113,1.53710938,4.73390399925e-06
114,1.77148438,4.66503510777e-06
115,1.43750000,4.59636817215e-06
116,1.68750000,4.52791980111e-06
117,1.81250000,4.45970655048e-06
118,2.18359375,4.39174491926e-06
119,2.07812500,4.32405134554e-06
120,1.70507812,4.25664220262e-06
121,1.67773438,4.18953379498e-06
122,1.76367188,4.12274235435e-06
123,1.59375000,4.05628403583e-06
124,1.62890625,3.99017491391e-06
125,1.87304688,3.92443097864e-06
126,2.10546875,3.85906813173e-06
127,2.08007812,3.79410218272e-06
128,1.85742188,3.72954884515e-06
129,1.64843750,3.66542373276e-06
130,1.76171875,3.60174235572e-06
131,1.52343750,3.53852011686e-06
132,1.59765625,3.47577230797e-06
133,1.82812500,3.41351410607e-06
134,2.16796875,3.35176056977e-06
135,2.02734375,3.29052663562e-06
136,1.85937500,3.22982711448e-06
137,1.75585938,3.16967668796e-06
138,1.74804688,3.11008990484e-06
139,1.40039062,3.0510811776e-06
140,1.52929688,2.99266477887e-06
141,1.67968750,2.93485483804e-06
142,2.14453125,2.87766533779e-06
143,2.15429688,2.82111011076e-06
144,1.91406250,2.76520283614e-06
145,1.69140625,2.70995703643e-06
146,1.83984375,2.65538607412e-06
147,1.67968750,2.60150314847e-06
148,1.92968750,2.54832129235e-06
149,2.07031250,2.49585336903e-06
150,2.16210938,2.4441120691e-06
151,1.77539062,2.39310990743e-06
152,1.48437500,2.34285922007e-06
153,1.57226562,2.29337216134e-06
154,1.72265625,2.24466070084e-06
155,1.70312500,2.19673662058e-06
156,1.81835938,2.14961151214e-06
157,2.08593750,2.10329677381e-06
158,2.21484375,2.05780360791e-06
159,1.81640625,2.01314301804e-06
160,1.66992188,1.96932580639e-06
161,1.42968750,1.9263625712e-06
162,1.69140625,1.88426370413e-06
163,1.49804688,1.84303938777e-06
164,1.57031250,1.80269959321e-06
165,1.74609375,1.76325407756e-06
166,2.25000000,1.72471238165e-06
167,2.09765625,1.68708382769e-06
168,1.82812500,1.65037751703e-06
169,1.68554688,1.61460232797e-06
170,1.89648438,1.57976691355e-06
171,1.74414062,1.54587969955e-06
172,1.86914062,1.51294888239e-06
173,2.13867188,1.48098242716e-06
174,2.21093750,1.44998806569e-06
175,1.69726562,1.4199732947e-06
176,1.58984375,1.39094537397e-06
177,1.32617188,1.36291132458e-06
178,1.60351562,1.33587792722e-06
179,1.34960938,1.30985172056e-06
180,1.66406250,1.28483899964e-06
181,1.87695312,1.26084581439e-06
182,2.14843750,1.2378779681e-06
183,2.14453125,1.2159410161e-06
184,1.83398438,1.19504026436e-06
185,1.69726562,1.17518076821e-06
186,1.75000000,1.15636733113e-06
187,1.39453125,1.1386045036e-06
188,1.42382812,1.12189658198e-06
189,1.85742188,1.10624760746e-06
190,2.31250000,1.09166136513e-06
191,2.12695312,1.078141383e-06
192,1.77148438,1.0656909312e-06
193,1.70312500,1.05431302117e-06
194,1.79687500,1.04401040491e-06
195,1.48828125,1.03478557437e-06
196,1.44140625,1.02664076077e-06
197,1.80273438,1.01957793414e-06
198,2.24218750,1.01359880278e-06
199,2.13281250,1.0087048129e-06
200,1.78320312,1.00489714821e-06
201,1.76953125,1.00217672969e-06
202,1.91406250,1.00054421533e-06
