step,loss,lr
1,1.67187500,1e-05
2,2.06250000,9.99984782157e-06
3,2.09375000,9.99939129659e-06
4,3.12500000,9.99863045591e-06
5,2.34375000,9.99756535102e-06
6,2.46875000,9.99619605394e-06
7,1.86718750,9.99452265728e-06
8,2.71875000,9.99254527423e-06
9,1.93750000,9.99026403852e-06
10,2.01562500,9.98767910446e-06
11,2.81250000,9.98479064686e-06
12,1.45312500,9.98159886109e-06
13,2.29687500,9.97810396302e-06
14,2.37500000,9.97430618904e-06
15,2.53125000,9.970205796e-06
16,1.72656250,9.96580306123e-06
17,2.23437500,9.96109828252e-06
18,2.64062500,9.95609177806e-06
19,1.71093750,9.95078388648e-06
20,2.65625000,9.94517496677e-06
21,2.03125000,9.93926539829e-06
22,2.90625000,9.93305558073e-06
23,1.72656250,9.92654593409e-06
24,2.46875000,9.91973689865e-06
25,2.57812500,9.91262893495e-06
26,2.70312500,9.90522252372e-06
27,1.86718750,9.8975181659e-06
28,2.59375000,9.88951638257e-06
29,1.99218750,9.88121771493e-06
30,2.70312500,9.87262272426e-06
31,1.57812500,9.86373199188e-06
32,2.31250000,9.85454611911e-06
33,2.31250000,9.84506572724e-06
34,2.12500000,9.83529145747e-06
35,1.89062500,9.8252239709e-06
36,2.15625000,9.81486394841e-06
37,1.91406250,9.80421209073e-06
38,1.64062500,9.79326911828e-06
39,2.00000000,9.78203577119e-06
40,2.15625000,9.77051280922e-06
41,1.95312500,9.75870101174e-06
42,2.45312500,9.74660117762e-06
43,1.82812500,9.73421412525e-06
44,2.29687500,9.72154069241e-06
45,1.82812500,9.70858173627e-06
46,1.48437500,9.69533813331e-06
47,2.09375000,9.68181077926e-06
48,1.95312500,9.66800058903e-06
49,2.06250000,9.65390849669e-06
50,1.54687500,9.63953545534e-06
51,1.92968750,9.62488243711e-06
52,1.76562500,9.60995043304e-06
53,1.94531250,9.59474045307e-06
54,1.78125000,9.57925352592e-06
55,1.95312500,9.56349069904e-06
56,1.94531250,9.54745303855e-06
57,1.98437500,9.53114162915e-06
58,1.96875000,9.51455757407e-06
59,1.67187500,9.49770199497e-06
60,2.04687500,9.48057603186e-06
61,2.37500000,9.46318084307e-06
62,1.36718750,9.44551760511e-06
63,1.59375000,9.42758751264e-06
64,2.21875000,9.40939177835e-06
65,1.94531250,9.3909316329e-06
66,1.76562500,9.37220832486e-06
67,1.86718750,9.35322312056e-06
68,1.63281250,9.33397730407e-06
69,1.41406250,9.31447217707e-06
70,2.01562500,9.2947090588e-06
71,1.59375000,9.27468928592e-06
72,1.70312500,9.25441421248e-06
73,1.69531250,9.23388520977e-06
74,1.57812500,9.21310366627e-06
75,1.48437500,9.19207098754e-06
76,1.70312500,9.17078859612e-06
77,1.96875000,9.14925793144e-06
78,2.25000000,9.12748044972e-06
79,1.90625000,9.10545762389e-06
80,2.15625000,9.08319094344e-06
81,1.95312500,9.06068191439e-06
82,2.56250000,9.03793205914e-06
83,2.73437500,9.01494291635e-06
84,1.68750000,8.99171604091e-06
85,1.78906250,8.96825300375e-06
86,1.90625000,8.9445553918e-06
87,1.48437500,8.92062480784e-06
88,1.93750000,8.89646287041e-06
89,1.48437500,8.87207121371e-06
90,1.42968750,8.84745148745e-06
91,1.12500000,8.82260535679e-06
92,1.47656250,8.7975345022e-06
93,1.05468750,8.77224061933e-06
94,1.48437500,8.74672541894e-06
95,1.36718750,8.72099062675e-06
96,1.89062500,8.69503798331e-06
97,0.99218750,8.66886924394e-06
98,1.68750000,8.64248617856e-06
99,0.94531250,8.61589057157e-06
100,1.57812500,8.58908422177e-06
101,1.40625000,8.5620689422e-06
102,0.91796875,8.53484656004e-06
103,1.09375000,8.50741891647e-06
104,1.73437500,8.47978786656e-06
105,2.12500000,8.45195527912e-06
106,2.07812500,8.42392303661e-06
107,2.51562500,8.39569303498e-06
108,2.54687500,8.36726718357e-06
109,2.26562500,8.33864740496e-06
110,2.20312500,8.30983563484e-06
111,2.75000000,8.28083382189e-06
112,2.42187500,8.25164392764e-06
113,2.76562500,8.22226792635e-06
114,2.29687500,8.19270780486e-06
115,2.62500000,8.16296556247e-06
116,2.62500000,8.13304321078e-06
117,2.59375000,8.10294277359e-06
118,2.09375000,8.07266628674e-06
119,2.54687500,8.04221579798e-06
120,2.25000000,8.01159336682e-06
121,2.14062500,7.9808010644e-06
122,2.68750000,7.94984097336e-06
123,2.32812500,7.91871518767e-06
124,2.53125000,7.88742581253e-06
125,2.40625000,7.85597496419e-06
126,2.39062500,7.82436476982e-06
127,2.39062500,7.79259736738e-06
128,2.17187500,7.76067490544e-06
129,2.26562500,7.72859954308e-06
130,1.88281250,7.6963734497e-06
131,2.40625000,7.66399880493e-06
132,2.09375000,7.63147779841e-06
133,2.31250000,7.59881262969e-06
134,2.37500000,7.56600550808e-06
135,2.48437500,7.53305865249e-06
136,2.01562500,7.49997429126e-06
137,2.81250000,7.46675466207e-06
138,1.92187500,7.4334020117e-06
139,2.23437500,7.39991859597e-06
140,1.74218750,7.36630667951e-06
141,1.56250000,7.33256853567e-06
142,2.04687500,7.29870644632e-06
143,2.03125000,7.26472270172e-06
144,2.35937500,7.23061960035e-06
145,2.17187500,7.19639944878e-06
146,2.23437500,7.16206456147e-06
147,2.54687500,7.12761726067e-06
148,2.20312500,7.0930598762e-06
149,2.01562500,7.05839474536e-06
150,0.95703125,7.02362421271e-06
151,1.67968750,6.98875062996e-06
152,2.01562500,6.95377635578e-06
153,2.10937500,6.91870375564e-06
154,2.43750000,6.88353520167e-06
155,1.85156250,6.8482730725e-06
156,1.92968750,6.81291975307e-06
157,2.32812500,6.77747763451e-06
158,2.34375000,6.74194911393e-06
159,1.64843750,6.7063365943e-06
160,1.93750000,6.67064248427e-06
161,1.89062500,6.634869198e-06
162,1.95312500,6.59901915501e-06
163,1.67187500,6.56309478003e-06
164,1.50781250,6.52709850278e-06
165,1.89843750,6.49103275787e-06
166,2.43750000,6.4548999846e-06
167,1.59375000,6.41870262681e-06
168,1.33593750,6.3824431327e-06
169,1.74218750,6.34612395467e-06
170,1.71875000,6.30974754918e-06
171,1.39062500,6.27331637652e-06
172,1.67187500,6.23683290072e-06
173,1.57031250,6.20029958934e-06
174,1.41406250,6.16371891329e-06
175,1.45312500,6.12709334671e-06
176,1.47656250,6.09042536676e-06
177,1.55468750,6.05371745347e-06
178,1.73437500,6.01697208959e-06
179,1.75781250,5.98019176037e-06
180,2.17187500,5.94337895345e-06
181,1.81250000,5.90653615866e-06
182,2.18750000,5.86966586786e-06
183,1.55468750,5.83277057475e-06
184,2.23437500,5.79585277476e-06
185,2.04687500,5.75891496481e-06
186,2.21875000,5.72195964318e-06
187,2.56250000,5.68498930934e-06
188,2.00000000,5.64800646378e-06
189,1.79687500,5.61101360782e-06
190,2.12500000,5.57401324347e-06
191,1.92968750,5.53700787325e-06
192,1.42968750,5.5e-06
193,2.10937500,5.46299212675e-06
194,1.42187500,5.42598675653e-06
195,2.17187500,5.38898639218e-06
196,1.73437500,5.35199353622e-06
197,1.85937500,5.31501069066e-06
198,1.53125000,5.27804035682e-06
199,1.49218750,5.24108503519e-06
200,1.85156250,5.20414722524e-06
201,1.57812500,5.16722942525e-06
202,1.85156250,5.13033413214e-06
203,1.72656250,5.09346384134e-06
204,1.79687500,5.05662104655e-06
205,1.50781250,5.01980823963e-06
206,1.56250000,4.98302791041e-06
207,0.98437500,4.94628254653e-06
208,1.45312500,4.90957463324e-06
209,1.60937500,4.87290665329e-06
210,1.48437500,4.83628108671e-06
211,1.04687500,4.79970041066e-06
212,2.00000000,4.76316709928e-06
213,2.43750000,4.72668362348e-06
214,1.49218750,4.69025245082e-06
215,1.53906250,4.65387604533e-06
216,1.82031250,4.6175568673e-06
217,1.57812500,4.58129737319e-06
218,1.21875000,4.5451000154e-06
219,1.75000000,4.50896724213e-06
220,1.75781250,4.47290149722e-06
221,1.18750000,4.43690521997e-06
222,1.41406250,4.40098084499e-06
223,1.68750000,4.365130802e-06
224,1.84375000,4.32935751573e-06
225,1.40625000,4.2936634057e-06
226,1.58593750,4.25805088607e-06
227,1.72656250,4.22252236549e-06
228,1.10156250,4.18708024693e-06
229,0.90625000,4.1517269275e-06
230,1.18750000,4.11646479833e-06
231,1.75781250,4.08129624436e-06
232,1.70312500,4.04622364422e-06
233,1.75781250,4.01124937004e-06
234,0.82031250,3.97637578729e-06
235,1.43750000,3.94160525464e-06
236,1.26562500,3.9069401238e-06
237,1.33593750,3.87238273933e-06
238,0.97656250,3.83793543853e-06
239,1.17968750,3.80360055122e-06
240,1.03125000,3.76938039965e-06
241,1.00781250,3.73527729828e-06
242,1.11718750,3.70129355368e-06
243,1.53906250,3.66743146433e-06
244,0.61718750,3.63369332049e-06
245,1.42968750,3.60008140403e-06
246,1.04687500,3.5665979883e-06
247,0.70312500,3.53324533793e-06
248,1.13281250,3.50002570874e-06
249,1.16406250,3.46694134751e-06
250,1.04687500,3.43399449192e-06
251,1.64062500,3.40118737031e-06
252,0.87500000,3.36852220159e-06
253,1.39062500,3.33600119507e-06
254,1.53125000,3.3036265503e-06
255,0.75781250,3.27140045692e-06
256,0.90625000,3.23932509456e-06
257,0.96484375,3.20740263262e-06
258,1.16406250,3.17563523018e-06
259,0.62890625,3.14402503581e-06
260,1.45312500,3.11257418747e-06
261,1.24218750,3.08128481233e-06
262,1.25781250,3.05015902664e-06
263,1.09375000,3.0191989356e-06
264,1.04687500,2.98840663318e-06
265,1.23437500,2.95778420202e-06
266,1.18750000,2.92733371326e-06
267,1.57031250,2.89705722641e-06
268,1.12500000,2.86695678922e-06
269,1.91406250,2.83703443753e-06
270,1.39062500,2.80729219514e-06
271,1.85937500,2.77773207365e-06
272,1.64062500,2.74835607236e-06
273,2.23437500,2.71916617811e-06
274,2.14062500,2.69016436516e-06
275,1.59375000,2.66135259504e-06
276,0.91796875,2.63273281643e-06
277,1.60937500,2.60430696502e-06
278,1.51562500,2.57607696339e-06
279,1.04687500,2.54804472088e-06
280,0.89062500,2.52021213344e-06
281,0.87109375,2.49258108353e-06
282,0.53125000,2.46515343996e-06
283,0.86718750,2.4379310578e-06
284,0.64843750,2.41091577823e-06
285,1.14062500,2.38410942843e-06
286,0.99218750,2.35751382144e-06
287,1.19531250,2.33113075606e-06
288,1.44531250,2.30496201669e-06
289,0.62109375,2.27900937325e-06
290,0.60937500,2.25327458106e-06
291,1.60937500,2.22775938067e-06
292,0.64843750,2.2024654978e-06
293,0.50781250,2.17739464321e-06
294,0.60546875,2.15254851255e-06
295,1.28906250,2.12792878629e-06
296,1.65625000,2.10353712959e-06
297,1.60937500,2.07937519216e-06
298,2.20312500,2.0554446082e-06
299,2.31250000,2.03174699625e-06
300,2.04687500,2.00828395909e-06
301,2.15625000,1.98505708365e-06
302,2.28125000,1.96206794086e-06
303,2.31250000,1.93931808561e-06
304,2.32812500,1.91680905656e-06
305,2.18750000,1.89454237611e-06
306,2.48437500,1.87251955028e-06
307,2.23437500,1.85074206856e-06
308,2.45312500,1.82921140388e-06
309,2.12500000,1.80792901246e-06
310,2.15625000,1.78689633373e-06
311,2.06250000,1.76611479023e-06
312,2.14062500,1.74558578752e-06
313,2.25000000,1.72531071408e-06
314,2.39062500,1.7052909412e-06
315,2.28125000,1.68552782293e-06
316,2.25000000,1.66602269593e-06
317,2.21875000,1.64677687944e-06
318,2.25000000,1.62779167514e-06
319,1.99218750,1.6090683671e-06
320,1.60156250,1.59060822165e-06
321,2.04687500,1.57241248736e-06
322,2.34375000,1.55448239489e-06
323,1.78906250,1.53681915693e-06
324,2.23437500,1.51942396814e-06
325,1.92968750,1.50229800503e-06
326,2.59375000,1.48544242593e-06
327,2.04687500,1.46885837085e-06
328,2.39062500,1.45254696145e-06
329,1.82812500,1.43650930096e-06
330,2.10937500,1.42074647408e-06
331,1.60937500,1.40525954693e-06
332,1.40625000,1.39004956696e-06
333,1.92187500,1.37511756289e-06
